Street,Neighborhood,City,Size,Bedrooms,Bathrooms,Vacancies,Advertisement_Value,Square_Meter_Value,just_street,street,zip_code,latitude,longitude,Point,setor_censo
Avenida das Magnólias,Cidade Jardim,São Paulo,420,4,4,4,2200000.0,10787.534404687916,avenida das magnólias,avenida das magnólias,5674000.0,-23.5931626,-46.6964356,POINT (-46.6964356 -23.5931626),355030854000128.0
Rua Mata Machado,Vila Califórnia,São Paulo,260,4,4,4,1250000.0,6478.153341433779,rua mata machado,rua mata machado,3215000.0,-23.6082946,-46.5576237,POINT (-46.5576237 -23.6082946),355030893000137.0
Rua Alfonso de Albuquerque,Jardim das Imbuias,São Paulo,200,3,5,3,1250000.0,7835.497835497836,rua alfonso de albuquerque,rua alfonso de albuquerque,4829290.0,-23.7293118,-46.7102256,POINT (-46.7102256 -23.7293118),355030823000091.0
"Rua Vicente Góes e Aranha, 587 ",Vila Tramontano,São Paulo,463,4,6,6,2200000.0,3153.526970954357,rua vicente góes e aranha,rua vicente góes e aranha,5691010.0,-23.6154794,-46.708266,POINT (-46.708266 -23.6154794),355030854000052.0
"Avenida Presidente Tancredo Neves, 668 ",Vila Nancy,São Paulo,132,2,1,1,390000.0,2808.764940239044,avenida presidente tancredo neves,avenida presidente tancredo neves,8571000.0,-23.4798114,-46.3530633,POINT (-46.3530633 -23.4798114),
"Rua Antônio Assumpção, 225 ",Parada Inglesa,São Paulo,154,2,4,4,650000.0,5273.069679849341,rua antônio assumpção,rua antônio assumpção,13485104.0,-22.5484235,-47.3959233,POINT (-47.3959233 -22.5484235),
Rua Lauro Luchesi,Jardim Leonor Mendes de Barros,São Paulo,300,4,4,3,1600000.0,6257.691566574604,rua lauro luchesi,rua lauro luchesi,2348090.0,-23.4604115,-46.6140698,POINT (-46.6140698 -23.4604115),355030881000248.0
"Rua Artur Montenegro, 9",Jardim Iva,São Paulo,250,2,2,2,370000.0,6699.751861042184,rua artur montenegro,rua artur montenegro,3921050.0,-23.5908256,-46.5179523,POINT (-46.5179523 -23.5908256),355030876000216.0
"Avenida Dom Rodrigo Sanches, 828 ",Jardim Amália,São Paulo,120,2,2,1,130000.0,7321.71581769437,avenida dom rodrigo sanches,avenida dom rodrigo sanches,5892360.0,-23.6612086,-46.7868272,POINT (-46.7868272 -23.6612086),355030819000263.0
"Rua Domingos de Braga, 7 ",Vila dos Remédios,São Paulo,110,3,3,2,545000.0,4125.177809388336,rua domingos de braga,rua domingos de braga,5102090.0,-23.517394,-46.7504171,POINT (-46.7504171 -23.517394),355030840000032.0
